Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
Syracuse China ,Libbey,New York,Syracuse,Onondaga,2900 Court Street,13221,,,2004,"$107,586 ",$0 ,"$107,586 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,450,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," ""miscellaneous manufacturing"""
"Bitzer Scroll, Inc.",,New York,SYRACUSE,,6055 Court Street Road,13206,Manufacturing,,2014,"$107,493 ",$0 ,"$107,493 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Willow Street Lofts,,New York,SYRACUSE,,221 West Division Street,13204,,,2007,"$107,286 ",$0 ,"$107,286 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,13,,,"$5,867,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
455 North Franklin Facility,,New York,SYRACUSE,,"455 North Franklin, LLC",13202,Refurbish and transfer closed factory into state of the art office space.  Salary information not gathered on this project.,,2012,"$106,748 ",$0 ,"$106,748 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 0; retained: 200,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"East Side Business Center, LLC",,New York,SYRACUSE,,"East Side Business Center, LLC",13202,Acquisition and renovation of business center. Salary information not gathered on this project.,,2009,"$104,387 ",$0 ,"$104,387 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,103,,,"$1,415,699 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
"Masonic Lofts Project, Inc.",,New York,SYRACUSE,,Masonic Lofts LLC,13202,Renovate vacant office building into 35 apartments for moderate income artists and entrepreneurs. Salary information not gathered on this project.,,2009,"$104,047 ",$0 ,"$104,047 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,1,,,"$5,763,543 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Amos Building Project,,New York,Syracuse,Onondaga,227 West Fayette St,13202,,,2006,"$104,000 ",$0 ,"$104,000 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,1,,,"$3,902,986 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Finger Lakes Railway,,New York,SYRACUSE,,Railroad,13202,Acquisition of the Onondaga County portion of the Geneva Cluster Railway from CONRAIL.,,2009,"$103,255 ",$0 ,"$103,255 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,49,,,"$190,677 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
"Forest View at Fayette, LLC",,New York,Syracuse,,,,,,2008,"$102,919 ",$0 ,"$102,919 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,5,,,"$2,002,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Central New York Medical Center,,New York,Syracuse,Onondaga,250 South Clinton Street,13202,,,2003,"$102,178 ",$0 ,"$102,178 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,400,,,"$15,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,SYRACUSE,,"432 North Franklin Properties, LLC",13204,Refurbished old factory into new office building. Salary information not gathered on this project.,,2009,"$99,873 ",$0 ,"$99,873 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,100,,,"$4,400,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Central New York Medical Center,,New York,Syracuse,Onondaga,250 South Clinton Street,13202,,,2006,"$99,703 ",$0 ,"$99,703 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,400,,,"$15,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
RICCELLI ENTERPRISES,,New York,SYRACUSE,,PO BOX 6418,13217,,,2007,"$99,130 ",$0 ,"$99,130 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,210,,,"$2,976,692 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,SYRACUSE,,432 North Franklin Street,13204,Refurbished old factory into new office building. Salary information not gathered on this project.,,2010,"$98,343 ",$0 ,"$98,343 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
"Waterfront Associates, LLC",,New York,Syracuse,Erie,250 South Clinton Street-Suite 200,13202,,,2006,"$94,599 ",$0 ,"$94,599 ",Industrial Development Agencies,Erie County IDA,tax credit/rebate; property tax abatement,975,,,"$13,999,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Hotel Skyler Project,,New York,SYRACUSE,,601 S Crouse Avenue & Harrison St,13202,"Finance, Insurance and Real Estate",,2014,"$92,499 ",$0 ,"$92,499 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Hotel Skyler Project,,New York,SYRACUSE,,601 S Crouse Avenue & Harrison St,13202,Renovation of existing Temple Adath Yeshurun into a 58 unit hotel serving the surrounding University and hospitals.  It will use variety of green building strategies resulting in LEED platinum certification.  Salary information not gathered on this project. To create 34 new jobs (12 part time and 22 full time).,,2012,"$92,251 ",$0 ,"$92,251 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 28; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
